"Capitel de coluna","M-0897"
"Dançarina e flautista","M-0898"
"Escultor e modelo diante de uma janela","M-0899"
"""Vue de l'hotel de ville et du pont d'arcole"" (vista da prefeitura e da ponte de Arcole)","M-0900"
"briga","M-0901"
"Casal","M-0902"
"figura masculina na neve","M-0903"
"músico e dançarino","M-0904"
"Entrada do porto do Rio de Janeiro e o Pão de Açúcar","M-0905"
"""Vue génerale du louvre et de la monnaie"" (Vista geral do Louvre e do Edificio de la Monnaie)","M-0906"
"""cascade et chateau de st. cloud"" (cascata e castelo de St. Cloud)","M-0907"
"retrato de moça","M-0908"
"cena com patinadores e trenós","M-0909"
"retrato de tarSila do amaral","M-0910"
"Perfil de menina","M-0911"
"bailarina","M-0912"
"serpente","M-0913"
"ave - Estudo para ilustração","M-0914"
"animal híbrido","M-0915"
"tatus-bola - Estudo para ilustração","M-0916"
"moluscos - Estudo para ilustração","M-0917"
"Jacaré - Estudo para ilustração","M-0918"
"fauno Músico N.3","M-0919"
"paisagem com nus","M-0920"
"cena rural","M-0921"
"Lot e suas filhas","M-0922"
"cabeça de mulher","M-0923"
"sem título","M-0924"
"figura com capacete","M-0925"
" figura com corneta","M-0926"
"paisagem","M-0927"
"Mãe e filhos","M-0928"
"mulher amamentando","M-0929"
"pintura tântrica ","M-0930"
"duas figuras","M-0931"
"""Enterrar y callar""","M-0932"
"""caridad""","M-0933"
"figura feminina","M-0934"
"""as tábuas de moisés""","M-0935"
"""Research""","M-0936"
"fonte","M-0937"
"""Vue de la chapelle St. Ferdinand a Neuilly"" ( vista da capela de São fernando em Neuilly)","M-0938"
"floreira","M-0939"
"hércules com serpentes","M-0940"
"lambri","M-0941"
"lambri","M-0942"
"lambri","M-0943"
"lambri","M-0944"
"cabeça de jagunço - ilustração para capa de cardápio","M-0945"
"""caatinga"" - Estudo para ilustração","M-0946"
